Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Martin County,"102,360","52,850","50,880","1,970",3.7,30,"49,480",
Miami-Dade County,"1,713,490","1,001,270","917,540","83,730",8.4,"1,440","710,780",
Monroe County,"66,230","42,310","41,010","1,310",3.1,"1,170","22,750",
Nassau County,"44,290","28,390","27,100","1,290",4.5,250,"15,650",
Okaloosa County,"128,180","75,420","71,930","3,490",4.6,"9,880","42,880",
Okeechobee County,"26,080","14,830","14,160",680,4.6,0,"11,250",
Orange County,"675,040","467,670","445,980","21,690",4.6,410,"206,950",
Osceola County,"128,960","83,790","79,770","4,020",4.8,80,"45,090",
Palm Beach County,"898,580","505,790","482,830","22,960",4.5,330,"392,460",
Pasco County,"277,450","139,770","133,540","6,230",4.5,160,"137,520",
Pinellas County,"741,270","439,950","422,510","17,440",4.0,"1,130","300,200",
Polk County,"367,100","216,720","205,480","11,240",5.2,240,"150,130",
Putnam County,"53,760","27,670","26,250","1,420",5.1,30,"26,070",
Santa Rosa County,"87,730","52,450","49,750","2,710",5.2,"2,890","32,380",
Sarasota County,"272,330","139,700","135,250","4,450",3.2,40,"132,580",
Seminole County,"279,620","197,950","190,750","7,200",3.6,200,"81,470",
St. Johns County,"95,920","60,940","59,060","1,880",3.1,460,"34,520",
St. Lucie County,"151,440","81,770","77,720","4,050",5.0,110,"69,560",
Sumter County,"39,530","15,860","15,110",750,4.7,10,"23,670",
Suwannee County,"26,940","14,940","13,900","1,040",7.0,20,"11,980",
Taylor County,"13,880","7,840","7,410",430,5.5,0,"6,030",
Union County,"6,750","4,180","4,020",170,4.1,10,"2,560",
Volusia County,"349,990","195,800","187,730","8,070",4.1,250,"153,940",
Wakulla County,"16,530","11,030","10,600",430,3.9,10,"5,500",
Walton County,"31,040","17,970","17,180",790,4.4,90,"12,980",
Washington County,"15,200","8,520","8,070",450,5.3,0,"6,680",
Georgia,"6,021,560","4,013,690","3,820,290","193,400",4.8,"40,410","1,967,460",Georgia
Appling County,"13,070","8,120","7,730",390,4.8,10,"4,950",
Atkinson County,"5,480","3,350","3,190",150,4.5,0,"2,130",
Bacon County,"7,640","4,490","4,290",200,4.5,0,"3,150",
Baker County,"3,070","1,730","1,590",140,8.1,10,"1,340",
Baldwin County,"28,870","18,230","17,150","1,080",5.9,20,"10,610",
Banks County,"11,140","7,320","7,100",220,3.0,0,"3,820",
Barrow County,"33,920","23,810","22,830",980,4.1,30,"10,080",
Bartow County,"55,950","38,090","36,620","1,470",3.9,40,"17,820",
Ben Hill County,"12,860","7,860","7,370",490,6.2,10,"4,990",
Berrien County,"12,130","7,680","7,340",340,4.4,110,"4,340",
Bibb County,"111,920","68,740","64,210","4,530",6.6,260,"42,930",
Bleckley County,"8,350","5,010","4,760",260,5.2,30,"3,310",
Brantley County,"10,860","6,470","6,150",320,4.9,50,"4,340",
Brooks County,"12,130","7,180","6,800",380,5.3,10,"4,930",
Bryan County,"16,780","10,970","10,630",340,3.1,540,"5,280",
Bulloch County,"41,320","26,070","24,220","1,850",7.1,100,"15,150",
Burke County,"15,840","9,060","8,220",840,9.3,50,"6,740",
Butts County,"13,440","8,430","8,110",320,3.8,20,"4,990",
Calhoun County,"3,780","2,230","2,110",130,5.8,0,"1,550",
Camden County,"29,390","17,490","16,470","1,010",5.8,"3,570","8,340",
Candler County,"6,840","3,910","3,630",280,7.2,10,"2,920",
Carroll County,"63,810","41,440","39,520","1,920",4.6,40,"22,330",
Catoosa County,"40,640","28,040","27,140",900,3.2,20,"12,570",
Charlton County,"6,700","3,740","3,550",200,5.3,30,"2,930",
Chatham County,"172,320","107,420","101,390","6,020",5.6,"2,550","62,350",
Chattahoochee County,"5,990","2,380","2,200",180,7.6,"1,750","1,860",
Chattooga County,"18,630","11,320","10,710",610,5.4,10,"7,290",
Cherokee County,"104,730","77,220","75,140","2,080",2.7,120,"27,390",
Clarke County,"77,050","50,780","47,570","3,210",6.3,200,"26,070",
Clay County,"2,560","1,310","1,220",90,6.9,0,"1,250",
Clayton County,"169,310","120,490","114,030","6,460",5.4,980,"47,840",
Clinch County,"4,850","2,680","2,560",110,4.1,10,"2,160",
Cobb County,"460,040","340,230","328,340","11,880",3.5,"1,080","118,730",
Coffee County,"26,500","16,650","15,610","1,040",6.2,0,"9,850",
Colquitt County,"30,630","18,690","17,600","1,090",5.8,10,"11,930",
Columbia County,"65,160","44,510","43,080","1,420",3.2,"1,100","19,550",
Cook County,"11,530","7,050","6,730",320,4.5,20,"4,460",
Coweta County,"65,280","45,880","44,100","1,790",3.9,130,"19,270",
Crawford County,"9,230","5,670","5,410",260,4.6,0,"3,560",
Crisp County,"15,820","9,530","8,860",670,7.0,10,"6,280",
Dade County,"11,190","7,000","6,790",210,3.0,0,"4,180",
Dawson County,"12,230","8,430","8,150",290,3.4,0,"3,800",
DeKalb County,"506,510","363,830","344,700","19,130",5.3,360,"142,320",
Decatur County,"20,370","12,100","11,330",770,6.4,10,"8,270",
Dodge County,"13,310","8,010","7,620",390,4.9,0,"5,290",
Dooly County,"7,630","4,550","4,260",290,6.4,20,"3,060",
Dougherty County,"68,220","40,730","37,160","3,580",8.8,370,"27,110",
Douglas County,"68,480","48,800","46,930","1,880",3.9,100,"19,580",
Early County,"8,980","5,270","4,850",420,8.0,10,"3,710",
Echols County,"2,750","1,750","1,680",70,4.0,10,990,
Effingham County,"27,370","18,150","17,380",770,4.2,80,"9,140",
Elbert County,"15,590","9,270","8,730",540,5.8,20,"6,310",
Emanuel County,"15,940","9,280","8,890",390,4.2,0,"6,660",
Evans County,"7,420","4,560","4,230",340,7.5,10,"2,840",
Fannin County,"15,970","8,670","8,330",340,3.9,20,"7,280",
Fayette County,"67,560","46,640","45,420","1,210",2.6,440,"20,480",
Floyd County,"67,090","41,710","39,670","2,050",4.9,30,"25,350",
Forsyth County,"72,450","52,730","51,660","1,080",2.0,30,"19,690",
Franklin County,"15,340","9,130","8,770",360,3.9,0,"6,210",
Fulton County,"606,160","414,570","389,870","24,700",6.0,460,"191,130",
Gilmer County,"18,200","10,900","10,450",460,4.2,0,"7,300",
Glascock County,"1,930","1,130","1,080",50,4.4,10,800,
Glynn County,"51,280","33,240","31,820","1,430",4.3,130,"17,910",
Gordon County,"33,440","23,240","22,450",790,3.4,30,"10,170",
Grady County,"17,720","10,860","10,060",810,7.5,20,"6,830",
Greene County,"11,040","6,110","5,710",400,6.5,0,"4,940",
Gwinnett County,"433,670","323,650","313,690","9,960",3.1,290,"109,730",
Habersham County,"26,640","17,170","16,590",580,3.4,20,"9,440",
Hall County,"103,630","68,750","66,250","2,500",3.6,60,"34,820",
Hancock County,"6,450","3,400","2,930",470,13.8,10,"3,040",
Haralson County,"19,470","11,730","11,250",480,4.1,10,"7,720",
Harris County,"18,150","12,230","11,810",420,3.4,130,"5,790",
Hart County,"17,600","10,870","10,400",460,4.2,10,"6,720",
Heard County,"8,030","4,900","4,620",280,5.7,10,"3,120",
Henry County,"87,350","62,640","60,990","1,650",2.6,370,"24,350",
Houston County,"80,620","51,070","48,610","2,460",4.8,"3,950","25,600",
Irwin County,"7,240","4,370","4,110",260,5.9,0,"2,880",
Jackson County,"30,800","20,190","19,530",650,3.2,10,"10,600",
Jasper County,"8,640","5,520","5,260",260,4.7,0,"3,120",
Jeff Davis County,"9,510","5,580","5,270",320,5.7,10,"3,920",
Jefferson County,"12,470","6,710","5,950",760,11.3,0,"5,760",
Jenkins County,"6,280","3,640","3,330",310,8.5,0,"2,640",
Johnson County,"6,000","3,170","3,020",160,5.0,0,"2,820",
Jones County,"17,660","11,290","10,820",470,4.2,20,"6,350",
Lamar County,"11,570","7,340","7,000",340,4.6,10,"4,230",
Lanier County,"5,200","3,190","2,990",200,6.3,110,"1,900",
Laurens County,"32,970","20,280","19,250","1,030",5.1,80,"12,610",
Lee County,"17,350","12,410","11,990",420,3.4,70,"4,870",
Liberty County,"38,980","18,880","17,270","1,610",8.5,"7,650","12,460",
Lincoln County,"6,490","3,590","3,380",220,6.1,50,"2,860",
Long County,"7,270","4,220","3,850",370,8.8,670,"2,380",
Lowndes County,"63,870","40,930","38,750","2,180",5.3,"2,190","20,750",
Lumpkin County,"15,160","10,100","9,700",400,4.0,210,"4,850",
Macon County,"9,730","5,290","4,800",480,9.1,10,"4,440",
Madison County,"19,560","12,840","12,500",340,2.6,10,"6,710",
Marion County,"5,260","3,130","3,020",110,3.5,20,"2,120",
McDuffie County,"15,570","9,640","8,930",720,7.5,40,"5,890",
McIntosh County,"8,020","4,690","4,420",270,5.8,10,"3,310",
Meriwether County,"16,730","9,840","9,160",690,7.0,0,"6,890",
Miller County,"4,810","2,980","2,860",120,4.0,0,"1,820",
Mitchell County,"16,250","9,460","8,870",590,6.2,20,"6,770",
Monroe County,"16,090","10,780","10,410",370,3.4,20,"5,290",
Montgomery County,"5,680","3,410","3,270",140,4.1,0,"2,260",
Morgan County,"11,600","7,810","7,410",400,5.1,0,"3,790",
Murray County,"27,150","18,540","17,800",740,4.0,10,"8,600",
Muscogee County,"133,080","80,590","75,080","5,510",6.8,"5,010","47,490",
Newton County,"45,490","30,390","29,030","1,360",4.5,0,"15,100",
Oconee County,"18,890","13,460","13,050",400,3.0,50,"5,390",
Oglethorpe County,"9,660","6,190","6,000",190,3.1,0,"3,470",
Paulding County,"58,170","42,540","41,470","1,070",2.5,200,"15,430",
Peach County,"17,170","10,650","9,560","1,080",10.1,70,"6,460",
Pickens County,"17,890","11,540","11,280",260,2.3,0,"6,340",
Pierce County,"11,820","7,250","6,960",290,4.0,20,"4,550",
Pike County,"10,000","6,530","6,300",230,3.5,10,"3,460",
Polk County,"28,550","16,890","15,870","1,020",6.0,10,"11,650",
Pulaski County,"6,500","4,200","3,970",230,5.5,10,"2,290",
Putnam County,"14,670","8,590","8,260",330,3.8,0,"6,070",
Quitman County,"2,050",980,920,60,6.1,0,"1,070",
Rabun County,"11,920","6,890","6,550",340,4.9,0,"5,030",
Randolph County,"5,640","2,830","2,620",210,7.4,10,"2,800",
Richmond County,"141,270","85,020","78,580","6,440",7.6,"3,360","52,890",
Rockdale County,"52,050","34,950","33,520","1,430",4.1,80,"17,030",
Schley County,"2,780","1,680","1,580",100,6.0,10,"1,090",
Screven County,"11,270","6,440","5,940",500,7.8,10,"4,810",
Seminole County,"6,940","3,850","3,580",270,7.0,0,"3,090",
Spalding County,"43,370","27,110","25,440","1,670",6.2,20,"16,240",
Stephens County,"19,170","12,110","11,640",460,3.8,0,"7,060",
Stewart County,"3,840","2,120","1,900",210,9.9,0,"1,720",
Sumter County,"23,420","15,010","14,080",930,6.2,0,"8,410",
Talbot County,"5,060","2,770","2,530",240,8.7,0,"2,290",
Taliaferro County,"1,610",840,760,80,9.5,0,770,
Tattnall County,"13,780","8,550","8,000",550,6.4,70,"5,170",
Taylor County,"6,360","3,300","3,050",250,7.6,20,"3,040",
Telfair County,"7,940","4,430","4,150",290,6.5,10,"3,490",
Terrell County,"7,970","4,570","4,180",390,8.5,0,"3,400",
Thomas County,"31,420","19,210","17,980","1,230",6.4,40,"12,160",
Tift County,"27,520","17,820","16,760","1,070",6.0,10,"9,680",
Toombs County,"18,940","11,630","10,980",650,5.6,0,"7,310",
Towns County,"7,460","3,670","3,520",150,4.1,0,"3,790",
Treutlen County,"4,920","2,550","2,310",240,9.4,0,"2,380",
Troup County,"42,810","27,760","26,440","1,310",4.7,20,"15,030",
Turner County,"6,840","4,240","3,930",310,7.3,0,"2,600",
Twiggs County,"7,880","4,580","4,200",380,8.3,30,"3,260",
Union County,"13,840","7,440","7,200",240,3.2,0,"6,410",
Upson County,"20,790","12,380","11,520",860,6.9,0,"8,410",
Walker County,"46,790","29,000","27,750","1,240",4.3,30,"17,760",
Walton County,"44,640","30,400","29,350","1,040",3.4,10,"14,240",
Ware County,"25,450","14,660","13,750",910,6.2,40,"10,760",
Warren County,"4,760","2,580","2,340",240,9.3,0,"2,180",
Washington County,"14,610","8,470","7,800",670,7.9,0,"6,140",
Wayne County,"18,470","10,720","10,190",530,4.9,80,"7,670",
Webster County,"1,850","1,070",990,80,7.5,0,780,
Wheeler County,"3,890","2,190","2,080",110,5.0,0,"1,700",
White County,"15,310","9,810","9,560",250,2.5,10,"5,490",
Whitfield County,"62,340","40,930","39,510","1,420",3.5,20,"21,400",
Wilcox County,"5,370","3,100","2,960",140,4.5,0,"2,270",
Wilkes County,"8,300","4,750","4,550",200,4.2,0,"3,560",
Wilkinson County,"7,690","4,420","4,120",300,6.8,20,"3,250",
Worth County,"16,240","9,940","9,340",600,6.0,30,"6,270",
Hawaii,"915,150","567,610","533,900","33,720",5.9,"25,230","322,300",Hawaii
Hawaii County,"111,970","69,990","64,570","5,430",7.8,200,"41,780",
Honolulu County,"660,830","403,730","379,990","23,740",5.9,"24,890","232,210",
Kalawao County,150,60,60,0,0.0,0,90,
Kauai County,"44,280","28,120","26,660","1,460",5.2,50,"16,110",
Maui County,"97,920","65,710","62,620","3,090",4.7,90,"32,120",
Idaho,"939,310","629,190","595,000","34,200",5.4,"4,270","305,850",Idaho
Ada County,"220,940","162,070","155,880","6,200",3.8,910,"57,960",
Adams County,"2,730","1,510","1,400",120,7.9,0,"1,220",
Bannock County,"54,550","37,230","35,110","2,130",5.7,80,"17,240",
Bear Lake County,"4,570","2,680","2,480",190,7.1,0,"1,900",
Benewah County,"6,880","4,030","3,470",560,13.9,0,"2,850",
Bingham County,"28,540","18,880","17,840","1,050",5.6,30,"9,630",
Blaine County,"14,660","11,080","10,720",360,3.2,0,"3,580",
Boise County,"5,060","3,300","3,080",220,6.7,30,"1,730",
Bonner County,"28,460","17,090","15,860","1,230",7.2,20,"11,360",
Bonneville County,"58,710","40,150","38,260","1,890",4.7,50,"18,510",
Boundary County,"7,190","4,260","3,840",420,9.9,20,"2,910",
Butte County,"2,160","1,300","1,230",80,6.2,0,860,
Camas County,780,520,500,20,3.8,0,260,
Canyon County,"92,460","62,310","58,870","3,440",5.5,180,"29,970",
Caribou County,"5,250","3,130","2,980",150,4.8,0,"2,120",
Cassia County,"14,730","9,420","8,940",480,5.1,0,"5,310",
Clark County,720,480,450,30,6.3,0,240,
Clearwater County,"6,550","3,690","3,260",420,11.4,0,"2,860",
Custer County,"3,280","2,060","1,940",120,5.8,0,"1,210",
Elmore County,"17,710","10,080","9,420",660,6.5,"2,620","5,000",
Franklin County,"7,530","5,160","4,910",250,4.8,10,"2,370",
Fremont County,"8,240","5,350","5,090",260,4.9,10,"2,880",
Gem County,"11,250","6,720","6,380",340,5.1,40,"4,500",
Gooding County,"10,460","6,470","6,260",210,3.2,0,"3,980",
Idaho County,"11,730","6,540","5,900",650,9.9,0,"5,180",
Jefferson County,"12,980","8,640","8,260",370,4.3,10,"4,330",
Jerome County,"13,080","8,560","8,080",480,5.6,10,"4,510",
Kootenai County,"81,390","54,080","50,070","4,000",7.4,90,"27,230",
Latah County,"24,800","16,690","15,830",850,5.1,40,"8,080",
Lemhi County,"6,110","3,490","3,190",300,8.6,0,"2,610",
Lewis County,"2,910","1,650","1,510",140,8.5,0,"1,260",
Lincoln County,"2,900","1,870","1,800",70,3.7,0,"1,030",
Madison County,"19,850","12,090","11,340",740,6.1,10,"7,750",
Minidoka County,"14,510","9,400","8,790",610,6.5,0,"5,110",
Nez Perce County,"29,060","18,620","17,770",850,4.6,30,"10,410",
Oneida County,"2,920","1,810","1,750",60,3.3,10,"1,110",
Owyhee County,"7,640","4,700","4,380",320,6.8,10,"2,930",
Payette County,"14,990","9,350","8,770",580,6.2,0,"5,640",
Power County,"5,220","3,490","3,330",160,4.6,0,"1,740",
Shoshone County,"10,790","6,090","5,370",720,11.8,10,"4,690",
Teton County,"4,270","3,110","3,010",100,3.2,0,"1,170",
Twin Falls County,"47,200","31,620","29,840","1,780",5.6,50,"15,520",
Valley County,"6,100","3,830","3,600",230,6.0,10,"2,270",
Washington County,"7,470","4,610","4,250",360,7.8,0,"2,860",
Illinois,"9,213,870","6,126,800","5,784,040","342,770",5.6,"11,170","3,075,900",Illinois
Adams County,"50,620","34,530","33,090","1,440",4.2,30,"16,060",
Alexander County,"6,780","3,600","3,240",360,10.0,0,"3,180",
Bond County,"11,790","7,670","7,370",300,3.9,0,"4,120",
Boone County,"30,350","21,070","20,140",930,4.4,0,"9,280",
Brown County,"3,900","2,620","2,530",90,3.4,0,"1,280",
Bureau County,"27,320","18,150","17,360",790,4.4,10,"9,160",
Calhoun County,"4,010","2,450","2,330",120,4.9,0,"1,560",
Carroll County,"12,910","8,270","7,720",540,6.5,0,"4,650",
Cass County,"10,500","6,870","6,470",400,5.8,30,"3,590",
Champaign County,"131,210","92,680","88,740","3,940",4.3,140,"38,390",
Christian County,"26,010","16,670","15,930",740,4.4,20,"9,320",
Clark County,"13,080","8,280","7,890",390,4.7,0,"4,800",
Clay County,"11,020","6,880","6,490",390,5.7,0,"4,140",
Clinton County,"25,390","17,670","17,080",590,3.3,170,"7,550",
Coles County,"39,440","25,810","24,610","1,200",4.6,20,"13,610",
Cook County,"4,037,850","2,590,400","2,406,400","184,000",7.1,"1,400","1,446,050",
Crawford County,"14,780","9,040","8,550",490,5.4,0,"5,740",
Cumberland County,"8,490","5,720","5,410",310,5.4,0,"2,770",
De Witt County,"12,910","8,820","8,360",470,5.3,0,"4,090",
DeKalb County,"62,750","45,060","43,380","1,680",3.7,30,"17,670",
Douglas County,"14,980","9,830","9,560",270,2.7,0,"5,150",
DuPage County,"673,640","487,970","473,070","14,900",3.1,140,"185,530",
Edgar County,"14,800","9,370","8,920",450,4.8,10,"5,420",
Edwards County,"5,530","3,450","3,310",130,3.8,0,"2,080",
Effingham County,"25,040","17,990","17,200",780,4.3,0,"7,040",
Fayette County,"15,460","9,890","9,350",540,5.5,10,"5,560",
Ford County,"10,580","7,120","6,880",230,3.2,0,"3,470",
Franklin County,"30,470","17,180","16,020","1,160",6.8,20,"13,270",
Fulton County,"28,290","17,270","16,130","1,150",6.7,20,"11,010",
Gallatin County,"5,130","2,770","2,580",190,6.9,0,"2,360",
Greene County,"11,110","6,670","6,300",370,5.5,10,"4,440",
Grundy County,"28,420","19,460","18,570",900,4.6,0,"8,960",
Hamilton County,"6,620","3,870","3,700",170,4.4,0,"2,750",
Hancock County,"15,440","10,490","10,000",490,4.7,10,"4,950",
Hardin County,"3,740","1,900","1,790",110,5.8,0,"1,840",
Henderson County,"6,490","4,200","4,010",200,4.8,0,"2,290",
Henry County,"39,100","26,150","24,990","1,160",4.4,20,"12,930",
Iroquois County,"23,720","15,540","14,970",570,3.7,10,"8,170",
Jackson County,"43,570","28,150","26,630","1,530",5.4,50,"15,360",
Jasper County,"7,830","5,120","4,940",180,3.5,0,"2,710",
Jefferson County,"28,920","18,570","17,590",980,5.3,40,"10,320",
Jersey County,"16,030","10,600","9,990",620,5.8,0,"5,430",
Jo Daviess County,"17,580","11,980","11,510",470,3.9,0,"5,600",
Johnson County,"8,080","4,730","4,370",350,7.4,0,"3,350",
Kane County,"288,810","204,760","195,340","9,420",4.6,60,"83,980",
Kankakee County,"74,720","50,310","47,350","2,960",5.9,10,"24,390",
Kendall County,"40,000","29,700","28,840",850,2.9,0,"10,300",
Knox County,"40,710","26,080","24,650","1,440",5.5,20,"14,610",
La Salle County,"83,640","53,780","50,940","2,840",5.3,30,"29,820",
Lake County,"453,260","320,490","308,650","11,850",3.7,"2,520","130,250",
Lawrence County,"11,740","7,440","6,980",460,6.2,0,"4,300",
Lee County,"25,430","17,060","16,270",800,4.7,0,"8,370",
Livingston County,"27,400","18,590","17,940",650,3.5,20,"8,790",
Logan County,"20,930","14,120","13,590",530,3.8,20,"6,790",
Macon County,"86,080","55,290","52,100","3,200",5.8,80,"30,710",
Macoupin County,"37,330","23,670","22,500","1,170",4.9,30,"13,630",
Madison County,"196,260","128,670","121,910","6,760",5.3,400,"67,190",
Marion County,"31,290","20,270","18,870","1,390",6.9,20,"11,000",
Marshall County,"10,200","6,820","6,570",250,3.7,10,"3,370",
Mason County,"12,400","7,550","7,090",460,6.1,20,"4,830",
Massac County,"11,760","7,140","6,720",420,5.9,0,"4,630",
McDonough County,"23,030","15,250","14,490",760,5.0,20,"7,760",
McHenry County,"187,890","139,790","135,060","4,740",3.4,80,"48,020",
McLean County,"107,710","79,080","76,530","2,550",3.2,50,"28,580",
Menard County,"9,410","6,750","6,490",260,3.9,20,"2,640",
Mercer County,"13,130","8,530","8,030",500,5.9,0,"4,600",
Monroe County,"20,860","14,880","14,510",370,2.5,0,"5,980",
Montgomery County,"21,720","13,670","12,950",720,5.3,20,"8,030",
Morgan County,"26,180","17,620","16,890",730,4.1,20,"8,540",
Moultrie County,"10,620","7,150","6,930",220,3.1,10,"3,460",
Ogle County,"38,100","25,980","24,800","1,180",4.5,10,"12,110",
Peoria County,"135,600","88,450","83,780","4,670",5.3,200,"46,950",
Perry County,"16,230","9,970","9,200",770,7.7,0,"6,260",
Piatt County,"12,550","8,750","8,490",260,3.0,10,"3,800",
Pike County,"12,950","8,220","7,720",500,6.1,0,"4,730",
Pope County,"3,310","1,990","1,840",150,7.5,0,"1,330",
Pulaski County,"5,300","3,130","2,850",290,9.3,0,"2,170",
Putnam County,"4,730","3,000","2,860",150,5.0,0,"1,730",
Randolph County,"23,180","14,730","13,980",760,5.2,20,"8,430",
Richland County,"12,510","7,840","7,270",570,7.3,10,"4,660",
Rock Island County,"113,580","74,930","70,490","4,440",5.9,70,"38,590",
Saline County,"20,280","11,550","10,650",900,7.8,10,"8,720",
Sangamon County,"144,170","100,830","97,050","3,780",3.7,330,"43,000",
Schuyler County,"5,670","3,840","3,620",220,5.7,10,"1,810",
Scott County,"4,270","2,870","2,740",130,4.5,0,"1,390",
Shelby County,"17,570","11,080","10,700",390,3.5,10,"6,470",
St. Clair County,"188,540","118,040","110,190","7,850",6.7,"4,360","66,140",
Stark County,"4,830","2,850","2,660",200,7.0,10,"1,970",
Stephenson County,"37,290","24,980","23,500","1,470",5.9,30,"12,290",
Tazewell County,"97,610","65,360","62,850","2,510",3.8,80,"32,180",
Union County,"13,700","8,110","7,540",570,7.0,10,"5,580",
Vermillion County,"62,210","38,530","35,730","2,800",7.3,20,"23,660",
Wabash County,"10,030","6,690","6,250",440,6.6,0,"3,340",
Warren County,"13,730","9,220","8,820",390,4.2,10,"4,500",
